DateTime,Ask,Bid,Ask Volume,Bid Volume
15.09.2023 09:04:27.358,1.06659,1.06657,0,0
15.09.2023 09:04:27.512,1.0666,1.06657,0,0
15.09.2023 09:04:27.615,1.06659,1.06657,0,0
15.09.2023 09:04:28.393,1.06657,1.06655,0,0
15.09.2023 09:04:31.595,1.06656,1.06653,0,0
15.09.2023 09:04:31.699,1.06656,1.06652,0,0
15.09.2023 09:04:31.904,1.06655,1.06652,0,0
15.09.2023 09:04:35.383,1.06656,1.06655,0,0
15.09.2023 09:04:36.397,1.06657,1.06655,0,0
15.09.2023 09:04:38.609,1.06656,1.06654,0,0
15.09.2023 09:04:38.713,1.06656,1.06652,0,0
15.09.2023 09:04:41.071,1.06655,1.06652,0,0
15.09.2023 09:04:41.175,1.06656,1.06653,0,0
15.09.2023 09:04:44.967,1.06658,1.06656,0,0
15.09.2023 09:04:45.977,1.06657,1.06655,0,0
15.09.2023 09:04:46.557,1.06658,1.06656,0,0
15.09.2023 09:04:49.653,1.06659,1.06657,0,0
15.09.2023 09:04:53.311,1.06659,1.06656,0,0
15.09.2023 09:04:55.751,1.06661,1.06659,0,0
15.09.2023 09:04:55.855,1.06662,1.06659,0,0
15.09.2023 09:04:55.970,1.06661,1.06659,0,0
15.09.2023 09:04:56.535,1.06659,1.06657,0,0
15.09.2023 09:04:56.639,1.0666,1.06657,0,0
15.09.2023 09:04:58.752,1.06659,1.06656,0,0
15.09.2023 09:04:58.856,1.06659,1.06657,0,0
15.09.2023 09:04:58.960,1.0666,1.06657,0,0
15.09.2023 09:05:03.287,1.06659,1.06657,0,0
15.09.2023 09:05:04.851,1.0666,1.06657,0,0
15.09.2023 09:05:04.954,1.06659,1.06657,0,0
15.09.2023 09:05:05.057,1.0666,1.06657,0,0
15.09.2023 09:05:05.277,1.06659,1.06657,0,0
15.09.2023 09:05:05.380,1.0666,1.06657,0,0
15.09.2023 09:05:05.483,1.06659,1.06657,0,0
15.09.2023 09:05:06.358,1.0666,1.06657,0,0
15.09.2023 09:05:07.796,1.06659,1.06657,0,0
